femme, mujer
chien, perro
ville, pueblo
homme, hombre
ami, amigo
maison, hogar
monde, mundo
travail, trabajo
école, colegio
étudiant, estudiante
voyage, viaje
lumière, luz
phrase, frase
rouge, rojo
bleu, azul
vert, verde
jaune, amarillo
rose, rosa
blanc, blanco
noir, negro
petit, pequeño
gran, alto
chaud, caliente
froid, frío
bon, bueno
mauvais, malo
vieux, viejo
jeune, joven
près, cerca
loin, lejos
beaucoup, mucho
peu, poco
faire, hacer
lire, leer
essayer, intentar
écouter, escuchar
parler, hablar
obtenir, recibir
donner, dar
penser, pensar
écrire, escribir
tête, cabeza
jambe, pierna
bras, brazo
main, mano
pied, pie
cou, cuello
genou, rodilla
île, isla
pays, país
